Date,Close,News,url
2019-08-21,10141.5,,
2019-08-22,10105.0,,
2019-08-23,10388.7,,
2019-08-24,10131.0,,
2019-08-25,10136.3,,
2019-08-26,10371.8,,
2019-08-27,10184.8,,
2019-08-28,9729.4,,
2019-08-29,9491.0,,
2019-08-30,9585.4,,
2019-08-31,9594.4,,
2019-09-01,9729.3,,
2019-09-02,10348.8,,
2019-09-03,10612.3,,
2019-09-04,10568.2,,
2019-09-05,10566.9,,
2019-09-06,10309.3,,
2019-09-07,10461.1,,
2019-09-08,10402.8,,
2019-09-09,10309.0,,
2019-09-10,10105.4,,
2019-09-11,10162.5,,
2019-09-12,10415.1,,
2019-09-13,10342.1,,
2019-09-14,10337.3,,
2019-09-15,10311.5,,
2019-09-16,10255.5,,
2019-09-17,10195.7,,
2019-09-18,10164.7,,
2019-09-19,10250.5,,
2019-09-20,10172.7,,
2019-09-21,9993.0,,
2019-09-22,10031.6,,
2019-09-23,9702.2,,
2019-09-24,8513.9,,
2019-09-25,8432.4,,
2019-09-26,8063.8,,
2019-09-27,8184.9,,
2019-09-28,8208.5,,
2019-09-29,8049.1,,
2019-09-30,8284.3,,
2019-10-01,8302.7,,
2019-10-02,8364.1,,
2019-10-03,8226.9,,
2019-10-04,8148.1,,
2019-10-05,8127.3,,
2019-10-06,7881.9,,
2019-10-07,8198.6,,
2019-10-08,8182.9,,
2019-10-09,8566.7,,
2019-10-10,8562.3,,
2019-10-11,8267.8,,
2019-10-12,8304.4,,
2019-10-13,8281.5,,
2019-10-14,8353.3,,
2019-10-15,8167.2,,
2019-10-16,8000.4,,
2019-10-17,8073.3,,
2019-10-18,7948.5,,
2019-10-19,7957.3,,
2019-10-20,8223.4,,
2019-10-21,8208.2,,
2019-10-22,8031.4,,
2019-10-23,7477.0,,
2019-10-24,7422.7,,
2019-10-25,8658.3,,
2019-10-26,9230.6,,
2019-10-27,9529.6,,
2019-10-28,9207.2,,
2019-10-29,9411.3,,
2019-10-30,9157.9,,
2019-10-31,9152.6,,
2019-11-01,9230.1,,
2019-11-02,9300.6,,
2019-11-03,9198.3,,
2019-11-04,9396.4,,
2019-11-05,9310.8,,
2019-11-06,9338.9,,
2019-11-07,9223.5,,
2019-11-08,8778.2,,
2019-11-09,8804.5,,
2019-11-10,9036.8,,
2019-11-11,8736.9,,
2019-11-12,8812.6,,
2019-11-13,8783.1,,
2019-11-14,8661.2,,
2019-11-15,8476.3,,
2019-11-16,8497.3,,
2019-11-17,8509.8,,
2019-11-18,8208.4,,
2019-11-19,8145.7,,
2019-11-20,8099.3,,
2019-11-21,7627.9,,
2019-11-22,7272.5,,
2019-11-23,7324.1,,
2019-11-24,6924.7,,
2019-11-25,7115.6,,
2019-11-26,7162.8,,
2019-11-27,7510.6,,
2019-11-28,7426.7,,
2019-11-29,7742.7,,
2019-11-30,7546.6,,
2019-12-01,7396.4,,
2019-12-02,7298.2,,
2019-12-03,7291.8,,
2019-12-04,7204.4,,
2019-12-05,7399.2,,
2019-12-06,7530.8,,
2019-12-07,7510.9,,
2019-12-08,7524.4,,
2019-12-09,7355.8,,
2019-12-10,7235.7,,
2019-12-11,7208.0,,
2019-12-12,7208.0,,
2019-12-13,7255.2,,
2019-12-14,7080.8,,
2019-12-15,7128.5,,
2019-12-16,6903.5,,
2019-12-17,6613.3,,
2019-12-18,7276.0,,
2019-12-19,7165.5,,
2019-12-20,7196.4,,
2019-12-21,7156.2,,
2019-12-22,7495.8,,
2019-12-23,7322.8,,
2019-12-24,7268.3,,
2019-12-25,7224.8,,
2019-12-26,7210.9,,
2019-12-27,7261.7,,
2019-12-28,7321.5,,
2019-12-29,7397.5,,
2019-12-30,7261.8,,
2019-12-31,7196.4,,
2020-01-01,7199.8,,
2020-01-02,6967.0,,
2020-01-03,7343.1,,
2020-01-04,7376.8,,
2020-01-05,7372.5,,
2020-01-06,7759.1,,
2020-01-07,8155.7,,
2020-01-08,8059.6,,
2020-01-09,7842.4,,
2020-01-10,8187.1,,
2020-01-11,8024.1,,
2020-01-12,8187.6,,
